TPM intersection number;location;N_TM35FIN;E_TM35FIN
OULU111;Tulliväylä - Kuusamontie;7212299;429066
OULU113;Kiertotie - Kemintien ramppi;7212511;428040
OULU114;Kemintie - Kiertotien ramppi;7212417;427950
OULU115;Bertel Jungin tie - Koskelantie;7212756;427007
OULU116;Tulliväylä - Paulaharjuntie;7212517;429205
OULU117;Paulaharjuntie-Korjaamontie;7212598;428967
OULU118;Koskelantie - Tukkitie;7212943;426939
OULU120;Kuusamontie - Vaalantie;7212581;430637
OULU122;Kuusamontie - Typpitie;7212297;429816
OULU123;Kuusamontie - Pohjantien ramppi;7212263;429491
OULU124;Kuusamontie - Hintantie;7212261;429241
OULU128;Kainuuntie - Pohjantien ramppi;7209851;429485
OULU129;Kainuuntie - Professorintie;7209683;429781
OULU130;Kainuuntie - Joutsentie;7209187;430220
OULU131;Joutsentie - Kotkantie;7209065;429853
OULU132;Joutsentie - Nokelantie;7209158;428836
OULU133;Lintulammentie - Latokartanontie;7208927;428557
OULU135;Lintulammentie - Tavitie;7208522;428747
OULU137;Oulunlahdentie - Pirttilammentie;7204985;431150
OULU138;Oulunlahdentie - Palokankaantie;7205123;431297
OULU139;Kaakkurinojantie-suojatie;7204640;430551
OULU140;Lentokentäntie - Limingantie;7204367;429391
OULU141;Limingantie (Mt 847)-Perkkiöntie;7205023;429284
OULU142;Limingantie - Jukolantie;7205710;428979
OULU143;Limingantie (Mt 847) -Palokankaantie;7206448;428663
OULU144;Mt 847 - Huhtakalliontie;7203264;429969
OULU145;Lentokentäntie - Metsokankaantie;7204817;430409
OULU146;Lentokentäntie (Mt 815)-Rantavainiontie;7204090;429097
OULU147;Mt 847 - Oulunportti;7203997;429503
OULU148;Oulunlahdentie-Pohjantie, länsi;7204679;429861
OULU149;Oulunlahdentie-Pohjantie, itä;7204779;430133
OULU150;Haukiputaantie - Koskelantie;7215966;426058
OULU151;Haukiputaantie - Koisotie;7216546;425403
OULU152;Haukiputaantie - Elektroniikkatie;7215616;426686
OULU153;Linnanmaantie-Pohjantie (Vt 4), länsi;7215512;426905
OULU154;Linnanmaantie - Pohjantie (Vt 4), itä;7215534;427185
OULU155;Raitotie - Eränkävinjäntaival;7217983;427753
Oulu156;Raitotie-Ritaharjuntie;7218099;427187
OULU157;Raitotie-Pohjantie (Vt 4), itä;7218119;426903
OULU158;Raitotie-Pohjantie (Vt 4), länsi;7218234;426575
OULU160;Kemintie - Tervahovintie;7213660;427933
OULU161;Tervahovintie - Kaarnatie;7213707;427754
OULU162;Kemintie - Pohjantie, etelä;7213782;428028
OULU163;Kemintie - Pohjantie, pohj.;7214000;428243
OULU164;Alakyläntie - Menninkäisentie;7214137;428315
OULU165;Alakyläntie-Syynimaantie;7214881;428361
OULU166;Alakyläntie - Linnanmaantie;7215517;428305
OULU167;Linnanmaantie - Yliopistokatu;7215532;428117
OULU168;Alakyläntie - Kalevalantie;7215877;428542
OULU170;Koskelantie - Tervahovintie;7213632;426683
OULU171;Koskelantie - Ruittukuja;7214146;426497
OULU173;Koskelantie-Mustasuontie;7214717;426427
OULU175;Raitotie-Pöllöntie;7216617;429616
OULU176;Raitotie-Kalikkatie;7216831;429171
OULU179;Poikkimaantie (Mt 8155) -Pohjantie, itäramppi;7207753;429632
OULU180;Limingantie - Äimäraution ramppi;7207738;428056
OULU181;Poikkimaantie - Lintulammentie;7207682;428837
OULU182;Poikkimaantie (Mt 8155) - Äimäraution ramppi;7207541;427931
OULU183;Poikkimaantie (Mt 8155) -Pohjantie, länsiramppi;7207731;429377
OULU184;Poikkimaantie - Kiilakiventie;7207773;429838
OULU185;Kainuuntie - Poikkimaantie;7208271;431003
OULU186;Kainuuntie - Maikkulantie;7207083;432111
Oulu187;Kainuuntie (Vt 22)-Sääskensuontie;7205973;434464
OULU188;Oulunsuuntie - Kasarmintie;7211097;430716
OULU189;Parkkisenkankaantie - Sangintie;7211435;430984
OULU190;Vaalantie - Parkkisenkankaantie;7211986;431422
OULU191;Vaalantie - Koivumaantie;7211501;431855
OULU192;Parkkisenkankaantie - Maanmittarintie;7212679;431875
OULU193;Raitotie - Konetie;7213908;431379
OULU194;Raitotie - Kuusamontien eteläramppi;7213363;431773
OULU195;Raitotie-Vt 20 pohjoisramppi;7213564;431644
OULU196;Raitotie-Kiilletie;7214492;430987
OULU197;Vaalantie (Mt 8300) - Soittokunnantie;7209396;433301
OULU198;Vaalantie - Puntarikankaantie;7210733;432476
OULU199;Liitintie-Vt 20 pohjoisramppi (Tapsitie);7214457;432986
OULU35;Limingantie - Joutsentie;7208950;427588
OULU38;Puistokatu - Aleksanterinkatu;7209995;427212
OULU39;Aleksanterinkatu - Albertinkatu;7210586;427603
OULU51;Kastellin Häkki;7210247;430598
OULU54;Kajaanintie - Maasälväntie;7208500;432147
Oulu6;Uusikatu - Kauppurienkatu;7210519;428076
OULU67;Lintulammentie - Takalyötynkatu;7209589;428328
RA08LV;Raahe, Valtatie (vt 8) - Kantatie (kt 88);7173193;379296
RA09LV;Raahe, Valtatie (vt 8) - Ouluntie (Mt 8104);7175663;382935
RA10LV;Raahe, Valtatie (vt 8) - Siikajoentie (Mt 813);7175752;384037
YL01LV;Ylivieska, Savontie (Vt 27) -Tulolantie, Ylivieska;7106581;380428
YL02LV;Ylivieska, Savontie (Vt 27) -Ollilanojankatu, Ylivieska;7106390;380951
YL03LV;Ylivieska, Savontie (Vt 27) - Hakatie;7106507;380564
YL08LV;Ylivieska, Savontie (Vt 27) - Tehdastie;7106387;381518
YL09LV;Ylivieska, Savontie (Vt 27) - Palkkitie;7106435;382123
SO01LV;Sotkamo, Kainuuntie (Kt 76) - Akkoniementie;7112262;567162
SO02LV;Sotkamo, Kainuuntie (Kt 76) - Torikatu;7112292;567387
SO03LV;Sotkamo, Kainuuntie (Kt 76) - Keskuskatu;7112332;567682
